notre_etablissement;domaine;site;type_image;image_url
Wiggle Room;wiggleroom;http://wiggleroom.ca/fr;photo;https://static.wixstatic.com/media/ba9cc3_f09e6814603d460786114d844c08cbdc%7Emv2.png/v1/fit/w_2500,h_1330,al_c/ba9cc3_f09e6814603d460786114d844c08cbdc%7Emv2.png
Club Balattou;balattou;http://balattou.com;photo;https://static.wixstatic.com/media/db41ea_15a0bc8691424b37bdc7359462a75775~mv2.jpg/v1/fill/w_234,h_106,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/db41ea_15a0bc8691424b37bdc7359462a75775~mv2.jpg
Préski;preski;https://www.preski.ca;photo;https://static.wixstatic.com/media/b3bca3_330da2e243f84b37a56ba745b7319792~mv2.png/v1/fill/w_173,h_40,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Preski%20Logo%20Horizontal%20RGB.png
Parc des Champs-de-Bataille - Plaines d'Abraham;plainesdabraham;https://www.plainesdabraham.ca;photo;https://ccbnwebprod.blob.core.windows.net/website/_1200x630_crop_center-center_none/accueil-07.jpg
La Seigneurie de l'Île d'Orléans;laseigneurie;https://www.laseigneurie.com;logo/autre;https://www.laseigneurie.com/aubergeInn.gif
Golf Le Grand Vallon;legrandvallon;http://legrandvallon.com;photo;https://legrandvallon.com/wp-content/uploads/2020/02/DIO_9490-scaled.jpg
Village Vacances Valcartier / Parc aquatique extérieur;villagevacances;https://villagevacances.ca/restauration;logo/autre;https://villagevacances.ca/app/uploads/2018/05/Viva_Logo.svg
Centre Castor - Base militaire de Valcartier;centrecastor;http://www.centrecastor.com;logo/autre;http://www.centrecastor.com/cfmws/media/images/logo_header_en.svg
Empire 47;empire47;http://empire47.com;photo;https://www.empire47.com/wp-content/uploads/2023/12/cropped-E47_Favicon.png
 Village Vacances Valcartier / Glissade sur neige;villagevacances;https://villagevacances.ca/restauration;logo/autre;https://villagevacances.ca/app/uploads/2018/05/Viva_Logo.svg
Plage du camping Le Genévrier;genevrier;http://www.genevrier.com;photo;https://genevrier.com/wp-content/uploads/2016/01/logo_summer.png
Katabatik - Aventure dans Charlevoix;katabatik;https://katabatik.ca/fr/activites-et-forfaits/descentes-de-riviere;photo;https://katabatik.ca/attachments/4ec43ff3-25eb-40a6-b985-5801d8535852/Descente%20de%20riviere%20du%20Gouffre%20BSP.jpg%2C/w300.jpg?h=88716036adbcc91015da7246fbb582bf
Le Massif de Charlevoix / Ski alpin et planche à neige;lemassif;https://www.lemassif.com/fr/restos/camp-boule-buvette-de-montagne;photo;https://www.lemassif.com/sites/default/files/styles/max_2600x2600/public/2024-09/JSCHP_leMassif_CampsBoule_6414%20%281%29.jpg?itok=yiG1yyyr
Le Massif de Charlevoix;lemassif;https://www.lemassif.com/fr/restos/camp-boule-buvette-de-montagne;photo;https://www.lemassif.com/sites/default/files/styles/max_2600x2600/public/2024-09/JSCHP_leMassif_CampsBoule_6414%20%281%29.jpg?itok=yiG1yyyr
Canot à Glace Charlevoix;canotaglacecharlevoix;https://canotaglacecharlevoix.com;logo/autre;https://i.vimeocdn.com/video/1707068784-b249e0a99f46a45c0d7d131fd13d0dcdb8a2d2f43a072930ad9ba17df99af871-d_1920x1080?r=pad
Katabatik – Aventure dans Charlevoix / Kayak de rivière ;katabatik;https://katabatik.ca/fr/activites-et-forfaits/descentes-de-riviere;photo;https://katabatik.ca/attachments/4ec43ff3-25eb-40a6-b985-5801d8535852/Descente%20de%20riviere%20du%20Gouffre%20BSP.jpg%2C/w300.jpg?h=88716036adbcc91015da7246fbb582bf
Katabatik – Aventure dans Charlevoix / Planche à pagaie à Baie-Saint-Paul;katabatik;https://katabatik.ca/fr/activites-et-forfaits/descentes-de-riviere;photo;https://katabatik.ca/attachments/4ec43ff3-25eb-40a6-b985-5801d8535852/Descente%20de%20riviere%20du%20Gouffre%20BSP.jpg%2C/w300.jpg?h=88716036adbcc91015da7246fbb582bf
Mont Grand-Fonds / Ski alpin et planche à neige;montgrandfonds;https://montgrandfonds.com;photo;https://montgrandfonds.com/build/redpill/images/sites/montgrandfondsb2c/logo-white.png?v=20251112100405_v3.760.0
Mont Grand-Fonds;montgrandfonds;https://montgrandfonds.com;photo;https://montgrandfonds.com/build/redpill/images/sites/montgrandfondsb2c/logo-white.png?v=20251112100405_v3.760.0
Descente Malbaie;descentemalbaie;https://descentemalbaie.com;photo;https://descentemalbaie.com/wp-content/uploads/2023/09/IMG_1882-e1694544985175.jpg
Pourvoirie Domaine Le Pic-Bois / Pêche blanche;lepicbois;http://www.lepicbois.com;photo;https://lepicbois.com/wp-content/uploads/2017/08/PicBois-CanalEvasion2017.jpg
Katabatik - Aventure dans Charlevoix / Kayak de mer hivernal ;katabatik;https://katabatik.ca/fr/activites-et-forfaits/descentes-de-riviere;photo;https://katabatik.ca/attachments/4ec43ff3-25eb-40a6-b985-5801d8535852/Descente%20de%20riviere%20du%20Gouffre%20BSP.jpg%2C/w300.jpg?h=88716036adbcc91015da7246fbb582bf
Moment Spa Le Manoir Richelieu;momentspa;https://momentspa.ca/le-manoir-richelieu;logo/autre;https://momentspa.ca/le-manoir-richelieu/wp-content/themes/amerispa/assets/images/logo-momentspa.svg
Katabatik – Aventure dans Charlevoix / Kayak de mer dans Charlevoix;katabatik;https://katabatik.ca/fr/activites-et-forfaits/descentes-de-riviere;photo;https://katabatik.ca/attachments/4ec43ff3-25eb-40a6-b985-5801d8535852/Descente%20de%20riviere%20du%20Gouffre%20BSP.jpg%2C/w300.jpg?h=88716036adbcc91015da7246fbb582bf
Projet Vertical;projetvertical;https://projetvertical.com;photo;https://projetvertical.com/wp-content/themes/projetvertical/img/og-facebook.jpg
Zen Évasion Spa ;zenevasionspa;http://www.zenevasionspa.com;photo;http://www.zenevasionspa.com/images/Zen logo.png
Chenil Du Sportif;chenildusportif;http://www.chenildusportif.com;photo;https://www.chenildusportif.com/wp-content/themes/chenilsportif/images/logo.png
Les sentiers pédestres de Percé;lessentiers;https://lessentiers.net;photo;https://lessentiers.net/wp-content/uploads/2024/10/Bourgogne.png
Microbrasserie Pit Caribou;microbrasserie;https://www.microbrasserie.com;photo;https://microbrasserie.com/wp-content/uploads/2025/02/Logo-St-Pub-blanc-246x95.png
Nordet;nordet;http://www.nordet.ca;photo;https://www.nordet.ca/wp-content/uploads/2023/09/SlideShow_Presentation_Mobile.webp
Marina de Gaspé / Club nautique Jacques-Cartier/École de voile le Cormoran;marinadegaspe;https://marinadegaspe.com;photo;http://static1.squarespace.com/static/60d767fca8c46c42747fd236/t/6197c9f3c5f3603d12ad57ba/1637623026922/Club-Nautique-_Logo-2.png?format=1500w
Cap Aventure;capaventure;http://www.capaventure.net;photo;https://capaventure.net/wp-content/uploads/2015/05/Mireille-1024x685-800x450.jpg
Mont-Béchervaise / Glissade sur neige;montbechervaise;http://www.montbechervaise.ca;photo;https://montbechervaise.ca/wp-content/uploads/2018/01/logo_blanc_transparent_titre.png
Centre de Ski Mont-Béchervaise;montbechervaise;http://www.montbechervaise.ca;photo;https://montbechervaise.ca/wp-content/uploads/2018/01/logo_blanc_transparent_titre.png
Cap Castor Ski hors piste;capcastorski;https://www.capcastorski.com;photo;https://static.wixstatic.com/media/b9f28e_14de7ba4f2eb4cb68275fafbab813389%7Emv2_d_3000_3000_s_4_2.jpg/v1/fit/w_2500,h_1330,al_c/b9f28e_14de7ba4f2eb4cb68275fafbab813389%7Emv2_d_3000_3000_s_4_2.jpg
Expé Aventures;expeaventures;https://www.expeaventures.com;photo;https://demo.maipro.io/lifestyle/wp-content/uploads/2017/07/mai-pro-device-mockup.jpg
La Belle Vie Sailing;labelleviesailing;https://www.labelleviesailing.ca;photo;https://static.wixstatic.com/media/607cf8_6a325758225348058380afc7df615988~mv2.png/v1/fill/w_1000,h_464,al_c/607cf8_6a325758225348058380afc7df615988~mv2.png
Bioparc de la Gaspésie;bioparc;https://www.bioparc.ca;photo;https://bioparc.ca/wp-content/uploads/2024/05/cropped-unnamed.png
La Grotte de Saint-Elzéar;lagrotte;https://lagrotte.ca;photo;https://lagrotte.ca/wp-content/uploads/2018/10/logo_blanc.png
Domaine des Chutes du Ruisseau Creux;domainedeschutesduruisseaucreux;http://www.domainedeschutesduruisseaucreux.com;photo;https://domainedeschutesduruisseaucreux.com/wp-content/uploads/Florent-Belanger-1836-1-scaled.jpg
Marina de Matane - Club Yacht Matane;matane;https://www.ville.matane.qc.ca/loisirs-culture-et-vie-communautaire/autres-installations-sportives-plein-air/parc-espaces-verts;photo;https://www.ville.matane.qc.ca/wp-content/uploads/2024/03/Matane_Iles-David-Dube-scaled.jpg
Club de Vélo Éolien de Matane;clubdeveloeolien;https://clubdeveloeolien.com/les-sentiers.html;photo;https://clubdeveloeolien.com/images/resized/200x200_82.png?v88
Réserve faunique de Matane;matane;https://www.ville.matane.qc.ca/loisirs-culture-et-vie-communautaire/autres-installations-sportives-plein-air/parc-espaces-verts;photo;https://www.ville.matane.qc.ca/wp-content/uploads/2024/03/Matane_Iles-David-Dube-scaled.jpg
Le Naufrageur;lenaufrageur;https://www.lenaufrageur.com;photo;https://static.wixstatic.com/media/e1bc3f_9a0edc5169514121ad545be0ef7a49f9~mv2.jpg/v1/fill/w_2048,h_1152,al_c/e1bc3f_9a0edc5169514121ad545be0ef7a49f9~mv2.jpg
Écovoile Baie-des-Chaleurs;ecovoile;http://ecovoile.com;photo;https://static.wixstatic.com/media/2ac4bc_a9690872f41a4dbfbcbd34867dd1de52%7Emv2.png/v1/fit/w_2500,h_1330,al_c/2ac4bc_a9690872f41a4dbfbcbd34867dd1de52%7Emv2.png
Golf Carleton-sur-Mer;golfcarletonsurmer;http://www.golfcarletonsurmer.com;photo;https://golfcarletonsurmer.com/wp-content/uploads/2022/05/Golf_Carleton-sur-Mer_logo-340x156-1.jpg
Parc régional du Mont-Saint-Joseph;montsaintjoseph;https://montsaintjoseph.com/accueil/hebergement;photo;https://montsaintjoseph.com/wp-content/uploads/2023/08/1.jpg
Station touristique Pin Rouge / Glissade sur neige;pinrouge;https://www.pinrouge.com;photo;https://static.wixstatic.com/media/889668_80ec2928ee2e438aa7f594de0c6c1c02%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/889668_80ec2928ee2e438aa7f594de0c6c1c02%7Emv2.jpg
