nom_suggere;categorie;detail;ville;region;courriel;telephone;site;adresse;code_postal;gps;image;resume;nom_brut_melange
Bonjourquebec;Café Bar Restaurant;Restaurant;Montréal, Québec;Bas-Saint-Laurent, Mauricie;;1 877 266-5687;https://www.bonjourquebec.com/fr-ca/ou-aller/regions-du-quebec/centre-du-quebec/victoriaville;;;;https://www.bonjourquebec.com/themes/custom/tq_glider/logo.svg;Victoriaville, nichée au cur du Centre-du-Québec, séduit par son riche patrimoine victorien et ses nombreux espaces verts. La ville offre un cadre idéal pour les amateurs de nature avec le mont Arthabaska et de vastes sentiers propices au vélo, à la randonnée et à l'ornithologie. Victoriaville ne manque pas d'attraits culturels, avec ses musées captivants et ses événements artistiques dynamiques.;ZUM AUBERGE D'ÉTÉ - UNIVERSITÉ DE MONTRÉAL
Commechezsoi;Café Bar Restaurant;Restaurant;Magog;Memphrémagog;info@commechezsoi.ca;819 868-2233;https://commechezsoi.ca;3219, rue Principale Ouest (route 112 Ouest);J1X 0J6;45.2937792,-72.222;http://static1.squarespace.com/static/553dae9de4b0bd2bbd40f142/t/5568d0e7e4b01c5253459235/1432932584046/CCS-ShareLogo.jpg?format=1500w;Venez vivre une expérience culinaire unique dans une ambiance intime et conviviale à Magog, Bromont ou Sherbrooke. Dans ces établissements accueillants, apportez vos bouteilles de vin préférées pour agrémenter un menu diversifié, avec des plats savoureux tels que le confit de canard, le carré d'agneau et les moules-frites. Chaque mois, la table d'hôte vous propose de nouvelles créations pour éveil;ZOOBOX-ZVS-87-LE VERTENDRE
Louisjacob;Café Bar Restaurant;Restaurant;Laval;Laval;info@louisjacob.ca;450 686-9005;http://www.louisjacob.ca;2981, boul. St-Martin O.;H7T 2Y8;45.5581154,-73.7460342;https://louisjacob.ca/wp-content/uploads/2019/12/69262528_393796924607211_3987624349740826624_n.png;Venez découvrir les Beaux Mardis au Restaurant Mardis Tartares à Volonté, situé à Québec, pour une expérience gastronomique unique. Chaque mardi, de 16h à 21h, laissez-vous tenter par un buffet à volonté de quatre choix de tartares, accompagnés d'un potage du jour, de frites et de salade, le tout pour 38 $. Imprégnez-vous d'une ambiance chaleureuse et décontractée, idéale pour savourer des tartare;ZOOBOX-79-LE VERTENDRE
Chezlionel;Café Bar Restaurant;Restaurant;Sainte-Thérèse;Thérèse-De Blainville;sainte-therese@chezlionel.ca;450 951-9551;https://www.chezlionel.ca;100, pl. Fabien-Drapeau;J7E 5W6;45.648563,-73.839459;http://static1.squarespace.com/static/5f28604136169a041e720ddf/t/68dd6b75199dc71e02a932e7/1759341429187/ChezLionel_Logo_FondNoir_ChezBlanc_RGB.png?format=1500w;Venez célébrer la fin d'année avec elegance à Laval, un endroit idéal pour organiser des événements de groupe mémorables. Découvrez une atmosphère festive et chaleureuse, parfaite pour rassembler vos proches ou collègues. Avec des installations modernes et un service attentionné, chaque détail est soigneusement pris en charge pour assurer le succès de votre célébration. Que ce soit pour un repas f;ZOOBOX -ZVO-62 - LE VERTENDRE
Valmontpleinair;Café Bar Restaurant;Restaurant;;;info@valmontpleinair.com;418.786.1355;https://www.valmontpleinair.com/restaurant;10 Rue Notre Dame Est Cap-Chat-Est, QC;G0J 1G0;;https://images.squarespace-cdn.com/content/v1/56b20faac6fc088ccfe5691d/c38d96f9-730d-4c77-b4e3-b7f0a752bfc7/102643756_3812804978790395_5853447353570812325_n+%281%29.jpg?format=1500w;Valmont plein air est un charmant bistrot situé à Cap-Chat, offrant une expérience culinaire chaleureuse avec un menu varié qui comprend des plats de poisson, des burgers, des pizzas et la fameuse poutine aux crevettes. Les visiteurs peuvent savourer leur repas en salle à manger ou sur la terrasse, bénéficiant d'une vue imprenable sur le mont Logan et la rivière Cap-Chat. Pour ceux qui préfèrent u;ZOOBOX - ZVS-55 - LE VERTENDRE
Tsukuyomi;Café Bar Restaurant;Restaurant;Montréal;Montréal;;514 331-1777;https://www.tsukuyomi.ca;5360 Boulevard Henri Bourassa Ouest;H4R 0R4;45.5195124,-73.711767;https://static.wixstatic.com/media/90c524_5ad13ec7c9604b7e9252ebd3df65b2f7~mv2.jpg/v1/fill/w_208,h_139,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/90c524_5ad13ec7c9604b7e9252ebd3df65b2f7~mv2.jpg;Tsukuyomi Ramen est un véritable trésor culinaire situé au cur de Montréal. Ce restaurant propose une expérience authentique du ramen japonais, mettant en avant un bouillon tonkotsu riche et savoureux, préparé sur place. Les clients peuvent savourer des nouilles fines accompagnées de chashu juteux, tout en ayant la possibilité de découvrir d'autres options, comme des bouillons de fruits de mer et;ZOOBOX - ZVO-84 - LE VERTENDRE
Restotapeo;Café Bar Restaurant;Restaurant;Montréal;Montréal;restotapeo@gmail.com;514 495-1999;http://www.restotapeo.com;511 Rue Villeray;H2R 1H5;45.5416324,-73.6226473;http://restotapeo.com/app/themes/conquest/assets/img/fbshare.jpg;Tapeo, situé dans le quartier Villeray de Montréal, est bien plus qu'un simple restaurant, c'est un véritable incontournable de la scène culinaire du Grand Montréal. Agrandi et repensé, cet établissement vous invite à savourer des tapas raffinées d'inspiration espagnole, élaborées avec soin par la chef Marie-Fleur St-Pierre. Dans une ambiance contemporaine et chaleureuse, laissez-vous séduire par ;ZOOBOX - ZVO-82 - LE VERTENDRE
Beauxpresmicrobrasserie;Café Bar Restaurant;Restaurant;Sainte-Anne-de-Beaupré;La Côte-de-Beaupré;info@mdbp.ca;418 702-1128;https://beauxpresmicrobrasserie.ca;9430, boul. Ste-Anne;G0A 3C0;47.016193,-70.943052;https://beauxpresmicrobrasserie.ca/wp-content/uploads/2023/03/MDBP-logo-horizontal-blanc-150x72.png;Situé sur les rives du Fleuve Saint-Laurent, à proximité du Mont-Sainte-Anne, le pub Brasser L'Authenticité vous invite à savourer une expérience unique en Côte-de-Beaupré. Avec un choix de 16 bières artisanales brassées localement et un menu de style pub, vous découvrirez une ambiance conviviale et chaleureuse. Chaque bière, soigneusement élaborée par notre maître brasseur, reflète les richesses ;Zone Aventure Plein Air
Restaurantgraffiti;Café Bar Restaurant;Restaurant;Québec;;info@restaurantgraffiti.com;418 529-4949;https://restaurantgraffiti.com;1191, avenue Cartier Québec, Qc G;G1R 2S9;;http://www.restaurantgraffiti.com/assets/client/img/og.png;Situé sur la Rue Cartier à Québec, le restaurant le Graffiti offre une expérience culinaire unique mêlant saveurs françaises et italiennes. Dans un cadre coloré et intemporel, le chef Alex Lehoullier et son équipe passionnée proposent une gastronomie créative, récompensée par des distinctions comme celle de Wine Spectator pour sa cave à vin exceptionnelle. Que ce soit pour un repas intime, un brun;Zone 15
Lepetitflore;Café Bar Restaurant;Restaurant;Montréal;Montréal;info@lepetitflore.com;514 387-2640;https://www.lepetitflore.com;1145, rue Fleury E.;H2C1P9;45.558711,-73.6589333;http://static1.squarespace.com/static/6406107e6e5c3f29056ff849/t/6408b4247631df5b765eaa15/1678292008865/Le-Petit-Flore-logo.jpg?format=1500w;Situé en plein cur de la ville, le Café Le Petit Flore vous invite à découvrir une atmosphère chaleureuse inspirée des célèbres cafés parisiens. Bien que n'ayant pas la prétention de reproduire le Café de Flore, cet établissement a su créer un lieu de rencontre propice à la détente et à la convivialité. Offrant une délicieuse cuisine française dans un cadre bistro, vous pourrez savourer des plats;Ziptopia Parc
