id;slug;titre_fr;titre_en;region_touristique;region_num;ville;adresse;telephone;site_web;courriel;latitude;longitude;categorie_thematique_fr;categorie_thematique_en;potentiel_affiliation_fr;potentiel_affiliation_en;resume_fr;resume_en;texte_complet_fr;hebergement_eco;hebergement_confort;hebergement_haut_gamme;restaurants_proximite;activites_ete;activites_hiver
1;vieux-montreal-et-la-place-jacques-cartier;Vieux-Montréal et la Place Jacques-Cartier;Old Montréal and Place Jacques-Cartier;Montréal;1;Montréal;Place Jacques-Cartier, Montréal (QC) H2Y 3B2 — accès par les stations de métro Champ-de-Mars ou Place-d'Armes;Bureau d'accueil touristique du Vieux-Montréal : 514 868-0303;vieux.montreal.qc.ca;;45.5089;-73.5536;Villages et quartiers pittoresques;Picturesque Villages & Districts;Hébergement seulement;Accommodation only;Cœur historique et touristique de Montréal, la Place Jacques-Cartier est une esplanade pavée en pente douce, bordée de restaurants et de bâtiments du XIXe siècle, qui relie l'Hôtel de Ville au Vieux-Port.;The historic and touristic heart of Montréal, Place Jacques-Cartier is a gently sloping cobblestone esplanade lined with restaurants and 19th-century buildings, linking City Hall to the Old Port.;Aménagée à partir de 1804 sur l'emplacement de l'ancienne résidence du gouverneur de Montréal (le château de Vaudreuil, détruit par un incendie en 1803), la place accueillit le marché public de la ville jusqu'en 1847, année où elle prit officiellement le nom de l'explorateur Jacques Cartier. Elle est dominée par la colonne Nelson, érigée en 1809 en l'honneur de l'amiral britannique vainqueur de Trafalgar — l'un des plus anciens monuments commémoratifs du Canada, dont la présence dans cette ville francophone surprend souvent les visiteurs. Aujourd'hui piétonne en été, la place demeure un point de convergence vivant, animé d'artistes de rue, de caricaturistes et de terrasses, et constitue le point de départ logique de toute visite du Vieux-Montréal.;COTTAGE AU PIED DU MONT-ROYAL (0.1 km) | CHAMBRES ET PETIT DÉJEUNER BIENVENUE (0.6 km) | RÉSIDENCE ST-DOMINIQUE (0.7 km);GÎTE LE BALCONVILLE (0.4 km) | CHEZ JEAN (0.6 km) | SONDER LE GUÉRIN (0.9 km);HÔTEL 10 (1.0 km);Bar Darling (0.3 km) | Schwartz's (0.4 km) | Café Miracolo (0.4 km) | Viva Restaurant + Bar (0.4 km) | Capitaine Sandwich (0.4 km);Barfly (0.2 km) | Wiggle Room (0.3 km) | Vortex Montréal - Plateau (0.4 km) | Club Balattou (0.4 km) | Muzique (0.5 km);Patinoire de l'Esplanade Tranquille (1.5 km) | Patinoire du Parc La Fontaine (1.6 km) | Parc La Fontaine (1.6 km) | Altai Canada Opérations (1.7 km) | Parc du Mont-Royal (1.8 km)
2;basilique-notre-dame-de-montreal;Basilique Notre-Dame de Montréal;Notre-Dame Basilica of Montréal;Montréal;1;Montréal;110, rue Notre-Dame Ouest, Montréal (QC) H2Y 1T1;514 842-2925;basiliquenotredame.ca;basilique@fabriquenotredame.ca;45.5046;-73.5566;Histoire et patrimoine;History & Heritage;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Église-mère de Montréal et chef-d'œuvre néogothique, la Basilique Notre-Dame impressionne par son intérieur richement orné de bois sculpté, de vitraux et d'un orgue Casavant monumental.;Montréal's mother church and a Neo-Gothic masterpiece, Notre-Dame Basilica impresses with its richly carved wood interior, stained-glass windows, and monumental Casavant organ.;Construite entre 1824 et 1829 sur les plans de l'architecte new-yorkais James O'Donnell (qui se convertira au catholicisme et sera inhumé dans l'édifice), la basilique pouvait à l'origine accueillir jusqu'à 10 000 fidèles, en faisant l'un des plus vastes lieux de culte d'Amérique du Nord à l'époque. Élevée au rang de basilique mineure par le pape Jean-Paul II en 1982 (qui s'y rendra en personne en 1984), elle a accueilli les funérailles de nombreuses personnalités québécoises, dont celles de Pierre Elliott Trudeau en 2000 et de Brian Mulroney en 2024, ainsi que le mariage de Céline Dion. Le spectacle multimédia AURA, présenté en soirée, met en lumière l'architecture de la basilique par un jeu de projections immersives.;COTTAGE AU PIED DU MONT-ROYAL (0.1 km) | CHAMBRES ET PETIT DÉJEUNER BIENVENUE (0.6 km) | RÉSIDENCE ST-DOMINIQUE (0.7 km);GÎTE LE BALCONVILLE (0.4 km) | CHEZ JEAN (0.6 km) | SONDER LE GUÉRIN (0.9 km);HÔTEL 10 (1.0 km);Bar Darling (0.3 km) | Schwartz's (0.4 km) | Café Miracolo (0.4 km) | Viva Restaurant + Bar (0.4 km) | Capitaine Sandwich (0.4 km);Barfly (0.2 km) | Wiggle Room (0.3 km) | Vortex Montréal - Plateau (0.4 km) | Club Balattou (0.4 km) | Muzique (0.5 km);Patinoire de l'Esplanade Tranquille (1.5 km) | Patinoire du Parc La Fontaine (1.6 km) | Parc La Fontaine (1.6 km) | Altai Canada Opérations (1.7 km) | Parc du Mont-Royal (1.8 km)
3;marche-bonsecours;Marché Bonsecours;Bonsecours Market;Montréal;1;Montréal;350, rue Saint-Paul Est, Montréal (QC) H2Y 1H2;;marchebonsecours.qc.ca;;45.5097;-73.5527;Villages et quartiers pittoresques;Picturesque Villages & Districts;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Élégant édifice néoclassique à dôme argenté, le Marché Bonsecours abrite aujourd'hui boutiques d'artisanat québécois, restaurants et salles d'exposition au cœur du Vieux-Montréal.;An elegant Neoclassical building topped with a silver dome, Bonsecours Market today houses Québec craft boutiques, restaurants, and exhibition halls in the heart of Old Montréal.;Inauguré en 1847, le Marché Bonsecours a servi tour à tour de marché public, de siège du Parlement du Canada-Uni (temporairement, après l'incendie du Parlement à Montréal en 1849) et d'hôtel de ville de 1852 à 1878. Reconnu comme lieu historique national du Canada et classé parmi les dix plus beaux édifices patrimoniaux du pays, il abrite aujourd'hui le Conseil des métiers d'art du Québec ainsi qu'une quinzaine de boutiques de créateurs locaux. Son dôme, illuminé le soir, change de couleur au fil des heures, devenant une véritable horloge urbaine visible depuis le fleuve.;COTTAGE AU PIED DU MONT-ROYAL (0.1 km) | CHAMBRES ET PETIT DÉJEUNER BIENVENUE (0.6 km) | RÉSIDENCE ST-DOMINIQUE (0.7 km);GÎTE LE BALCONVILLE (0.4 km) | CHEZ JEAN (0.6 km) | SONDER LE GUÉRIN (0.9 km);HÔTEL 10 (1.0 km);Bar Darling (0.3 km) | Schwartz's (0.4 km) | Café Miracolo (0.4 km) | Viva Restaurant + Bar (0.4 km) | Capitaine Sandwich (0.4 km);Barfly (0.2 km) | Wiggle Room (0.3 km) | Vortex Montréal - Plateau (0.4 km) | Club Balattou (0.4 km) | Muzique (0.5 km);Patinoire de l'Esplanade Tranquille (1.5 km) | Patinoire du Parc La Fontaine (1.6 km) | Parc La Fontaine (1.6 km) | Altai Canada Opérations (1.7 km) | Parc du Mont-Royal (1.8 km)
4;pointe-a-calliere-cite-darcheologie-et-dhistoire-de-montreal;Pointe-à-Callière, cité d'archéologie et d'histoire de Montréal;Pointe-à-Callière, Montréal Archaeology and History Complex;Montréal;1;Montréal;350, place Royale, Montréal (QC) H2Y 3Y5;;pacmusee.qc.ca;;45.5052;-73.554;Histoire et patrimoine;History & Heritage;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Bâti directement sur le site archéologique de la fondation de Montréal en 1642, ce musée unique au Canada permet de descendre physiquement sous le niveau de la rue pour explorer des vestiges authentiques.;Built directly on the archaeological site where Montréal was founded in 1642, this museum—unique in Canada—lets visitors descend below street level to explore authentic remains.;Inauguré en 1992 pour le 350e anniversaire de Montréal, Pointe-à-Callière doit son existence à d'importantes fouilles archéologiques menées dans les années 1980, qui ont mis au jour les fondations successives de la ville depuis l'arrivée des premiers colons. Le musée combine un parcours souterrain à travers les vestiges (premier cimetière catholique de la ville, ancien égout collecteur, fondations du marché Sainte-Anne qui abrita le Parlement du Canada-Uni) et un spectacle multimédia projeté directement sur les ruines. Seul musée d'archéologie urbaine d'envergure au Canada, il demeure le point de départ logique pour comprendre la genèse de Montréal.;COTTAGE AU PIED DU MONT-ROYAL (0.1 km) | CHAMBRES ET PETIT DÉJEUNER BIENVENUE (0.6 km) | RÉSIDENCE ST-DOMINIQUE (0.7 km);GÎTE LE BALCONVILLE (0.4 km) | CHEZ JEAN (0.6 km) | SONDER LE GUÉRIN (0.9 km);HÔTEL 10 (1.0 km);Bar Darling (0.3 km) | Schwartz's (0.4 km) | Café Miracolo (0.4 km) | Viva Restaurant + Bar (0.4 km) | Capitaine Sandwich (0.4 km);Barfly (0.2 km) | Wiggle Room (0.3 km) | Vortex Montréal - Plateau (0.4 km) | Club Balattou (0.4 km) | Muzique (0.5 km);Patinoire de l'Esplanade Tranquille (1.5 km) | Patinoire du Parc La Fontaine (1.6 km) | Parc La Fontaine (1.6 km) | Altai Canada Opérations (1.7 km) | Parc du Mont-Royal (1.8 km)
5;chateau-ramezay-musee-et-site-historique-de-montreal;Château Ramezay — Musée et site historique de Montréal;Château Ramezay — Montréal Museum and Historic Site;Montréal;1;Montréal;280, rue Notre-Dame Est, Montréal (QC) H2Y 1C5;514 861-3708;chateauramezay.qc.ca;;45.5095;-73.5524;Histoire et patrimoine;History & Heritage;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Premier édifice classé monument historique au Québec, le Château Ramezay propose un voyage à travers 500 ans d'histoire montréalaise, complété par un jardin de style Nouvelle-France.;The first building in Québec to be designated a historic monument, Château Ramezay offers a journey through 500 years of Montréal history, complemented by a New France–style garden.;Construit en 1705 pour Claude de Ramezay, alors gouverneur de Montréal, le bâtiment a connu de multiples usages avant de devenir musée en 1895 — l'un des plus anciens musées d'histoire privés du Québec. Sélectionné par une équipe d'experts en collaboration avec l'UNESCO comme l'un des « 1001 sites historiques à voir avant de mourir », il propose des expositions permanentes et temporaires, un parcours multimédia offert en six langues, ainsi que le Jardin du Gouverneur, reconstitution d'un jardin urbain du XVIIIe siècle en Nouvelle-France, où une terrasse accueille les visiteurs en été.;COTTAGE AU PIED DU MONT-ROYAL (0.1 km) | CHAMBRES ET PETIT DÉJEUNER BIENVENUE (0.6 km) | RÉSIDENCE ST-DOMINIQUE (0.7 km);GÎTE LE BALCONVILLE (0.4 km) | CHEZ JEAN (0.6 km) | SONDER LE GUÉRIN (0.9 km);HÔTEL 10 (1.0 km);Bar Darling (0.3 km) | Schwartz's (0.4 km) | Café Miracolo (0.4 km) | Viva Restaurant + Bar (0.4 km) | Capitaine Sandwich (0.4 km);Barfly (0.2 km) | Wiggle Room (0.3 km) | Vortex Montréal - Plateau (0.4 km) | Club Balattou (0.4 km) | Muzique (0.5 km);Patinoire de l'Esplanade Tranquille (1.5 km) | Patinoire du Parc La Fontaine (1.6 km) | Parc La Fontaine (1.6 km) | Altai Canada Opérations (1.7 km) | Parc du Mont-Royal (1.8 km)
6;parc-du-mont-royal;Parc du Mont-Royal;Mount Royal Park;Montréal;1;Montréal;1260, chemin Remembrance, Montréal (QC) H3H 1A2;514 843-8240 (Les amis de la montagne);lemontroyal.qc.ca;;45.5048;-73.5878;Découverte et culture;Discovery & Culture;Hébergement seulement;Accommodation only;Vaste espace vert dessiné par le célèbre paysagiste Frederick Law Olmsted (également concepteur de Central Park à New York), le Mont-Royal offre des points de vue spectaculaires sur la ville et abrite le belvédère Kondiaronk, le plus visité du parc.;A vast green space designed by famed landscape architect Frederick Law Olmsted (also the designer of New York's Central Park), Mount Royal offers spectacular views over the city and is home to the Kondiaronk lookout, the park's most visited spot.;Aménagé à partir de 1876 à la demande des citoyens montréalais soucieux de préserver cette « montagne » urbaine (en réalité une colline de 233 mètres, vestige d'une intrusion magmatique vieille de plus de 100 millions d'années faisant partie des collines montérégiennes), le parc fut conçu par Olmsted pour offrir une expérience progressive et contemplative à travers des sentiers sinueux plutôt que des perspectives rectilignes. Le belvédère Kondiaronk, du nom d'un chef huron-wendat artisan de la Grande Paix de Montréal de 1701, surplombe le centre-ville et le fleuve. Le parc abrite également le Lac aux Castors, un cimetière historique et la Maison Smith, centre d'interprétation administré par l'organisme Les amis de la montagne.;COTTAGE AU PIED DU MONT-ROYAL (0.1 km) | CHAMBRES ET PETIT DÉJEUNER BIENVENUE (0.6 km) | RÉSIDENCE ST-DOMINIQUE (0.7 km);GÎTE LE BALCONVILLE (0.4 km) | CHEZ JEAN (0.6 km) | SONDER LE GUÉRIN (0.9 km);HÔTEL 10 (1.0 km);Bar Darling (0.3 km) | Schwartz's (0.4 km) | Café Miracolo (0.4 km) | Viva Restaurant + Bar (0.4 km) | Capitaine Sandwich (0.4 km);Barfly (0.2 km) | Wiggle Room (0.3 km) | Vortex Montréal - Plateau (0.4 km) | Club Balattou (0.4 km) | Muzique (0.5 km);Patinoire de l'Esplanade Tranquille (1.5 km) | Patinoire du Parc La Fontaine (1.6 km) | Parc La Fontaine (1.6 km) | Altai Canada Opérations (1.7 km) | Parc du Mont-Royal (1.8 km)
7;jardin-botanique-de-montreal;Jardin botanique de Montréal;Montréal Botanical Garden;Montréal;1;Montréal;4101, rue Sherbrooke Est, Montréal (QC) H1X 2B2;514 868-3000;espacepourlavie.ca/jardin-botanique;;45.561;-73.5615;Histoire et patrimoine;History & Heritage;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;L'un des plus importants jardins botaniques au monde, avec 75 hectares, 22 000 espèces végétales, 10 serres d'exposition et une trentaine de jardins thématiques, dont les célèbres jardins de Chine et du Japon.;One of the world's leading botanical gardens, spanning 75 hectares with 22,000 plant species, 10 exhibition greenhouses, and some thirty themed gardens, including the renowned Chinese and Japanese gardens.;Fondé en 1931 par le frère Marie-Victorin, botaniste québécois de renom, en collaboration avec l'architecte paysagiste Henry Teuscher, le Jardin botanique a été désigné lieu historique national du Canada en 2007. Le Jardin des Premières-Nations y met en valeur les usages alimentaires, médicinaux et utilitaires des plantes par les peuples autochtones, tandis que la Roseraie, avec ses 7 000 rosiers, démontre qu'il est possible de cultiver des espèces qu'on croyait incompatibles avec le climat québécois. Le Jardin fait partie du complexe muséal Espace pour la vie, qui regroupe également le Biodôme, l'Insectarium et le Planétarium.;COTTAGE AU PIED DU MONT-ROYAL (0.1 km) | CHAMBRES ET PETIT DÉJEUNER BIENVENUE (0.6 km) | RÉSIDENCE ST-DOMINIQUE (0.7 km);GÎTE LE BALCONVILLE (0.4 km) | CHEZ JEAN (0.6 km) | SONDER LE GUÉRIN (0.9 km);HÔTEL 10 (1.0 km);Bar Darling (0.3 km) | Schwartz's (0.4 km) | Café Miracolo (0.4 km) | Viva Restaurant + Bar (0.4 km) | Capitaine Sandwich (0.4 km);Barfly (0.2 km) | Wiggle Room (0.3 km) | Vortex Montréal - Plateau (0.4 km) | Club Balattou (0.4 km) | Muzique (0.5 km);Patinoire de l'Esplanade Tranquille (1.5 km) | Patinoire du Parc La Fontaine (1.6 km) | Parc La Fontaine (1.6 km) | Altai Canada Opérations (1.7 km) | Parc du Mont-Royal (1.8 km)
8;biodome-de-montreal;Biodôme de Montréal;Montréal Biodôme;Montréal;1;Montréal;4777, avenue Pierre-De Coubertin, Montréal (QC) H1V 1B3;514 868-3000;espacepourlavie.ca/biodome;;45.5589;-73.5503;Activités et sports de plein air;Outdoor Activities & Sports;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Aménagé dans l'ancien Vélodrome olympique de 1976, le Biodôme reconstitue quatre écosystèmes des Amériques (forêt tropicale, érablière, golfe du Saint-Laurent, monde polaire) sous un même toit.;Housed in the former 1976 Olympic Velodrome, the Biodôme recreates four ecosystems of the Americas (tropical rainforest, maple forest, Gulf of St. Lawrence, and polar world) under a single roof.;Inauguré en 1992, le Biodôme permet une immersion physique dans des biomes recréés avec une précision scientifique remarquable, où évoluent en liberté relative des centaines d'espèces animales et végétales. Le secteur du Saint-Laurent reconstitue l'écosystème du fleuve depuis ses rives jusqu'au large, tandis que le secteur polaire, avec ses manchots, évoque les régions subantarctiques. Voisin immédiat du Stade olympique, dont la silhouette futuriste demeure l'un des repères visuels les plus identifiables de Montréal, le Biodôme constitue une activité particulièrement appréciée par mauvais temps ou en hiver.;COTTAGE AU PIED DU MONT-ROYAL (0.1 km) | CHAMBRES ET PETIT DÉJEUNER BIENVENUE (0.6 km) | RÉSIDENCE ST-DOMINIQUE (0.7 km);GÎTE LE BALCONVILLE (0.4 km) | CHEZ JEAN (0.6 km) | SONDER LE GUÉRIN (0.9 km);HÔTEL 10 (1.0 km);Bar Darling (0.3 km) | Schwartz's (0.4 km) | Café Miracolo (0.4 km) | Viva Restaurant + Bar (0.4 km) | Capitaine Sandwich (0.4 km);Barfly (0.2 km) | Wiggle Room (0.3 km) | Vortex Montréal - Plateau (0.4 km) | Club Balattou (0.4 km) | Muzique (0.5 km);Patinoire de l'Esplanade Tranquille (1.5 km) | Patinoire du Parc La Fontaine (1.6 km) | Parc La Fontaine (1.6 km) | Altai Canada Opérations (1.7 km) | Parc du Mont-Royal (1.8 km)
9;parc-jean-drapeau-ile-sainte-helene-et-ile-notre-dame;Parc Jean-Drapeau (île Sainte-Hélène et île Notre-Dame);Jean-Drapeau Park (Saint Helen's Island and Notre Dame Island);Montréal;1;Montréal;1, circuit Gilles-Villeneuve, Montréal (QC) H3C 1A9;514 872-6120;parcjeandrapeau.com;;45.5067;-73.5326;Routes et circuits thématiques;Themed Routes & Circuits;Hébergement seulement;Accommodation only;Archipel d'îles aménagées dans le Saint-Laurent, hôte de l'Exposition universelle de 1967 et aujourd'hui parc public abritant la Biosphère, le circuit de Formule 1 et le parc d'attractions La Ronde.;An archipelago of islands built up in the St. Lawrence, host of the 1967 World's Fair and today a public park home to the Biosphère, the Formula 1 racetrack, and La Ronde amusement park.;L'île Sainte-Hélène, fortifiée par les Britanniques au XIXe siècle, et l'île Notre-Dame, entièrement créée de matériaux d'excavation du métro de Montréal pour l'Expo 67, forment ensemble un vaste espace récréatif. Le site a accueilli l'Exposition universelle de 1967, événement charnière de l'histoire montréalaise qui projeta la ville sur la scène internationale en pleine Révolution tranquille. Aujourd'hui, le parc combine plages urbaines, sentiers, le circuit Gilles-Villeneuve (où se déroule le Grand Prix de Formule 1 du Canada) et un accès direct à la Biosphère.;COTTAGE AU PIED DU MONT-ROYAL (0.1 km) | CHAMBRES ET PETIT DÉJEUNER BIENVENUE (0.6 km) | RÉSIDENCE ST-DOMINIQUE (0.7 km);GÎTE LE BALCONVILLE (0.4 km) | CHEZ JEAN (0.6 km) | SONDER LE GUÉRIN (0.9 km);HÔTEL 10 (1.0 km);Bar Darling (0.3 km) | Schwartz's (0.4 km) | Café Miracolo (0.4 km) | Viva Restaurant + Bar (0.4 km) | Capitaine Sandwich (0.4 km);Barfly (0.2 km) | Wiggle Room (0.3 km) | Vortex Montréal - Plateau (0.4 km) | Club Balattou (0.4 km) | Muzique (0.5 km);Patinoire de l'Esplanade Tranquille (1.5 km) | Patinoire du Parc La Fontaine (1.6 km) | Parc La Fontaine (1.6 km) | Altai Canada Opérations (1.7 km) | Parc du Mont-Royal (1.8 km)
10;musee-des-beaux-arts-de-montreal;Musée des beaux-arts de Montréal;Montréal Museum of Fine Arts;Montréal;1;Montréal;1380, rue Sherbrooke Ouest, Montréal (QC) H3G 1J5;514 285-2000;mbam.qc.ca;;45.4986;-73.5793;Histoire et patrimoine;History & Heritage;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Plus ancien et plus grand musée d'art du Québec, le MBAM réunit près de 47 000 œuvres réparties dans cinq pavillons, dont une ancienne église reconvertie en espace d'exposition d'art canadien.;Québec's oldest and largest art museum, the MMFA brings together nearly 47,000 works across five pavilions, including a former church converted into a Canadian art exhibition space.;Fondé en 1860 sous le nom d'Art Association of Montreal, le musée s'enrichit dès 1877 d'un legs majeur de l'homme d'affaires Benaiah Gibb, qui permit la construction du premier édifice canadien conçu spécifiquement pour abriter une collection d'art. Sa collection encyclopédique couvre l'art international, l'art québécois et canadien, l'art inuit et autochtone, ainsi que les arts décoratifs. Le pavillon Claire et Marc Bourgie occupe l'ancienne église Erskine and American, dont les vingt vitraux Tiffany originaux comptent parmi les plus importants ensembles de ce type au monde.;COTTAGE AU PIED DU MONT-ROYAL (0.1 km) | CHAMBRES ET PETIT DÉJEUNER BIENVENUE (0.6 km) | RÉSIDENCE ST-DOMINIQUE (0.7 km);GÎTE LE BALCONVILLE (0.4 km) | CHEZ JEAN (0.6 km) | SONDER LE GUÉRIN (0.9 km);HÔTEL 10 (1.0 km);Bar Darling (0.3 km) | Schwartz's (0.4 km) | Café Miracolo (0.4 km) | Viva Restaurant + Bar (0.4 km) | Capitaine Sandwich (0.4 km);Barfly (0.2 km) | Wiggle Room (0.3 km) | Vortex Montréal - Plateau (0.4 km) | Club Balattou (0.4 km) | Muzique (0.5 km);Patinoire de l'Esplanade Tranquille (1.5 km) | Patinoire du Parc La Fontaine (1.6 km) | Parc La Fontaine (1.6 km) | Altai Canada Opérations (1.7 km) | Parc du Mont-Royal (1.8 km)
